,building,geometry,amenity,shop,leisure,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
165346538,yes,"POLYGON ((9.697956899999999 51.2249243, 9.6978428 51.2249416, 9.697819600000001 51.2248817, 9.698533599999999 51.2247732, 9.698638000000001 51.2250427, 9.698422900000001 51.2250754, 9.698350599999999 51.2248889, 9.698293100000001 51.2248977, 9.698409099999999 51.2251971, 9.698081800000001 51.2252468, 9.697956899999999 51.2249243))",,,,,,9.698256092438903,51.22499016980361,2.0621747500119262e-07,0
165346539,yes,"POLYGON ((9.696780199999999 51.224007, 9.6962288 51.2240259, 9.6962121 51.223835, 9.6963182 51.2238314, 9.696311 51.2237487, 9.696756300000001 51.2237334, 9.696780199999999 51.224007))",,,,,,9.696506813575546,51.22388508137037,1.4250753999966552e-07,0
165369496,yes,"POLYGON ((9.696232200000001 51.2273441, 9.696219299999999 51.2272369, 9.696975999999999 51.2272013, 9.696988899999999 51.2273085, 9.696232200000001 51.2273441))",,,,,,9.696604099999998,51.22727270000001,8.15774800016566e-08,0
165369530,yes,"POLYGON ((9.7002758 51.225656, 9.700255200000001 51.2257488, 9.699944500000001 51.2257217, 9.699965199999999 51.2256289, 9.7002758 51.225656))",,,,,,9.700110172069392,51.22568885223375,2.9387935000284147e-08,0
165369531,yes,"POLYGON ((9.6999201 51.2258318, 9.699695800000001 51.2258334, 9.699693 51.2256755, 9.699917299999999 51.225674, 9.6999201 51.2258318))",,,,,,9.699806538161885,51.22575367518583,3.541009500006756e-08,0
165849882,yes,"POLYGON ((9.7283075 51.1985802, 9.7282964 51.1979697, 9.728253799999999 51.1979432, 9.7278623 51.197946, 9.727864200000001 51.1980472, 9.7278696 51.1983493, 9.7278211 51.1983497, 9.727825299999999 51.1985835, 9.7278997 51.198583, 9.7283075 51.1985802))",,supermarket,,,Rewe,9.728075134208215,51.19827172991388,2.871357250000741e-07,2
165849884,yes,"POLYGON ((9.7472998 51.1981948, 9.7473615 51.1983191, 9.747718000000001 51.1982497, 9.7476564 51.1981254, 9.7472998 51.1981948))",fast_food,,,,McDonald's,9.747508919442865,51.1982222481765,4.8597674998662636e-08,3
170327084,yes,"POLYGON ((9.666659900000001 51.2171528, 9.6670354 51.2172133, 9.667099800000001 51.217099, 9.6666814 51.2170318, 9.666659900000001 51.2171528))",,,,,,9.666869564446355,51.21712317569778,4.944352499982636e-08,1
170327085,yes,"POLYGON ((9.6665741 51.2173477, 9.6669711 51.2174149, 9.6670354 51.2173006, 9.666595600000001 51.21722, 9.6665741 51.2173477))",,,,,,9.666792848583654,51.21731944183475,5.379671000010789e-08,1
170327200,yes,"POLYGON ((9.7049494 51.2110171, 9.7050962 51.2110948, 9.704993200000001 51.2111712, 9.7051306 51.2112439, 9.7052336 51.2111675, 9.705323099999999 51.2112149, 9.7060221 51.2106967, 9.7059713 51.2106505, 9.705909999999999 51.2105946, 9.7057874 51.2106474, 9.7058442 51.2106992, 9.7053289 51.2110812, 9.705057 51.2109373, 9.7049494 51.2110171))",,,,,,9.705461635474514,51.2109693584574,1.5458132000002369e-07,1
