,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
108012122,yes,"POLYGON ((6.0041683 50.9878475, 6.0042658 50.9877354, 6.0043216 50.9877548, 6.0043347 50.9877397, 6.0044048 50.9877639, 6.004324 50.9878568, 6.0042845 50.9878431, 6.0042546 50.9878774, 6.0041683 50.9878475))",,,,,,,,6.004285425907541,50.98780384773007,1.796710500053678e-08,1
108012127,yes,"POLYGON ((6.0038619 50.9877395, 6.0037067 50.9876895, 6.0037987 50.9875757, 6.0038647 50.9875969, 6.0038347 50.9876342, 6.0039238 50.9876629, 6.0038619 50.9877395))",,,,,,,,6.00381549882072,50.98766399022648,1.8080375000340068e-08,1
108012129,yes,"POLYGON ((6.0034615 50.9876081, 6.0035336 50.9875191, 6.0036535 50.9875579, 6.003644 50.9875698, 6.0036853 50.9875831, 6.0036788 50.9875914, 6.0036359 50.987644, 6.0036225 50.9876602, 6.0034615 50.9876081))",,,,,,,,6.003574985298951,50.98759036096325,1.750022500023766e-08,1
108012133,yes,"POLYGON ((6.0040304 50.9877981, 6.0040345 50.9877932, 6.0039464 50.9877629, 6.0039421 50.9877677, 6.0039345 50.9877651, 6.0039969 50.9876929, 6.0040036 50.987695, 6.0040928 50.9877259, 6.0041148 50.9877003, 6.0041751 50.987721, 6.0040904 50.9878188, 6.0040304 50.9877981))",,,,,,,,6.0040568290238845,50.98775092647609,1.6065399999840053e-08,1
108012135,yes,"POLYGON ((6.0033181 50.9875564, 6.0033259 50.9875488, 6.0032445 50.9875078, 6.0033267 50.9874427, 6.0033322 50.9874448, 6.0033228 50.9874537, 6.0033899 50.9874875, 6.0034012 50.9874768, 6.0034552 50.9874992, 6.0033722 50.9875789, 6.0033181 50.9875564))",,,,,,,,6.003349826023763,50.98751204085207,1.3483574999933991e-08,1
108015298,yes,"POLYGON ((6.0018677 50.9874034, 6.0019051 50.9873531, 6.001948 50.9873683, 6.0019122 50.9874174, 6.0019114 50.9874173, 6.0018677 50.9874034))",,,,,,,,6.001908094166782,50.987385604196156,2.7096249998713564e-09,1
108016806,yes,"POLYGON ((6.004073 50.9881559, 6.0041347 50.9880738, 6.0042354 50.9881041, 6.0041737 50.9881861, 6.004073 50.9881559))",,,,,,,,6.004154194789147,50.98812996832876,1.0128859999842959e-08,1
108016807,yes,"POLYGON ((6.0032872 50.9884033, 6.0034168 50.9884396, 6.0034788 50.9883539, 6.0033536 50.9883165, 6.0032872 50.9884033))",,,,,,,,6.003383735936294,50.988378421736684,1.3354019999696664e-08,1
108016808,yes,"POLYGON ((6.0029186 50.987762, 6.0029521 50.9877192, 6.0030164 50.9877392, 6.0030574 50.9876871, 6.0031611 50.9877196, 6.0031152 50.9877782, 6.0030866 50.9878146, 6.0030864 50.9878145, 6.0029186 50.987762))",,,,,,,,6.003049184755288,50.98775079614267,1.570860499953068e-08,1
108016810,yes,"POLYGON ((6.0037841 50.9885568, 6.0038372 50.9884843, 6.0038408 50.9884852, 6.0039364 50.9885131, 6.0039401 50.9885144, 6.0038871 50.9885868, 6.0037841 50.9885568))",,,,,,,,6.003862171291961,50.98853550071287,9.071279999951225e-09,1
108016813,yes,"POLYGON ((6.0030329 50.9883467, 6.0030958 50.9882589, 6.0031591 50.9882769, 6.0031697 50.988262, 6.0032424 50.9882827, 6.0031994 50.9883426, 6.0031329 50.9883235, 6.0031021 50.9883665, 6.0030329 50.9883467))",,,,,,,,6.003134368069622,50.988308556298016,1.2234290000162277e-08,1
