,building,geometry,amenity,shop,leisure,sport,building:levels,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
110741959,yes,"POLYGON ((11.971775 47.8247184, 11.9718616 47.8248369, 11.9716806 47.8249028, 11.9716347 47.8248459, 11.9716935 47.8248245, 11.9716416 47.8247601, 11.971775 47.8247184))",,,,,,11.971741326517638,47.82481067458927,2.3625684999543246e-08,2
110741961,yes,"POLYGON ((11.9722203 47.8235347, 11.9722466 47.8234338, 11.9720674 47.8234085, 11.9720457 47.8234621, 11.9720328 47.8235127, 11.9722203 47.8235347))",,,,,,11.972140097841834,47.82347255343977,1.9725975000847092e-08,2
110741966,yes,"POLYGON ((11.9766948 47.8241193, 11.9765389 47.8240754, 11.9765614 47.8240392, 11.976453 47.8240087, 11.9765313 47.8238835, 11.9767956 47.8239579, 11.9766948 47.8241193))",,,,,,11.976624876523772,47.8239972784188,4.555403499968411e-08,2
110741971,residential,"POLYGON ((11.97155 47.824182, 11.9717686 47.824119, 11.9716881 47.8239902, 11.9714628 47.8240461, 11.97155 47.824182))",,,,,,11.971616253055851,47.824084516103454,3.435996500102536e-08,2
110741977,yes,"POLYGON ((11.9715798 47.8247795, 11.9716416 47.8247601, 11.971775 47.8247184, 11.9716846 47.8245881, 11.9714894 47.8246492, 11.9715798 47.8247795))",,,,,,11.97163219414254,47.824683787874235,3.0952549999604735e-08,2
110741978,residential,"POLYGON ((11.9684559 47.8257562, 11.9683971 47.825653, 11.9682254 47.8256973, 11.9682854 47.8257997, 11.9684559 47.8257562))",,,,,,11.968340967562026,47.82572646226784,2.0196739999448266e-08,2
110741980,residential,"POLYGON ((11.9686683 47.8259383, 11.9686179 47.8258247, 11.9684043 47.8258682, 11.9684619 47.825985, 11.9686683 47.8259383))",,,,,,11.968537333966514,47.82590395394338,2.662740000019338e-08,2
110741983,garage,"POLYGON ((11.9686354 47.8240103, 11.9686208 47.8238439, 11.9684952 47.8238489, 11.9685098 47.8240152, 11.9686354 47.8240103))",,,,,,11.96856530618554,47.823929573787545,2.0965829999733915e-08,2
110741987,yes,"POLYGON ((11.9775415 47.8240855, 11.9775728 47.8240105, 11.9774194 47.8239817, 11.9773881 47.8240567, 11.9775415 47.8240855))",,,,,,11.97748045,47.82403359999999,1.2406440000440707e-08,2
110741989,yes,"POLYGON ((11.9709289 47.8245943, 11.9709047 47.8245212, 11.9711342 47.824487, 11.9711584 47.8245601, 11.9709289 47.8245943))",,,,,,11.971031550000001,47.82454065,1.760409000039796e-08,2
110741992,yes,"POLYGON ((11.9702355 47.8234151, 11.9703574 47.8233422, 11.9702529 47.8232635, 11.970131 47.8233364, 11.9702355 47.8234151))",,,,,,11.970244200000002,47.82333930000001,1.7211579999358075e-08,2
110741994,farm_auxiliary,"POLYGON ((11.9663727 47.8253015, 11.9668059 47.8251948, 11.9667235 47.8250441, 11.9662903 47.8251508, 11.9663727 47.8253015))",,,,,,11.966548100000002,47.825172800000004,7.407531999981532e-08,2
110741998,residential,"POLYGON ((11.9664469 47.824166, 11.966372 47.8240449, 11.9661102 47.8241178, 11.9661621 47.8242018, 11.966219 47.8242939, 11.9663823 47.8242484, 11.9663483 47.8241934, 11.9664469 47.824166))",,,,,,11.966279659711866,47.824164356129536,4.7687265000098015e-08,2
110741999,house,"POLYGON ((11.9671554 47.82417, 11.9671167 47.8240487, 11.9668445 47.8240879, 11.9668833 47.8242092, 11.9671554 47.82417))",,,,,,11.966999971291074,47.824128946819975,3.4530794999925756e-08,2
110742003,yes,"POLYGON ((11.9768277 47.8233289, 11.9768387 47.8232027, 11.9766628 47.8231957, 11.9766518 47.8233219, 11.9768277 47.8233289))",,,,,,11.97674525,47.823262299999996,2.2275580000002097e-08,2
110742011,yes,"POLYGON ((11.9954842 47.8260882, 11.9954782 47.8259801, 11.9953501 47.8259833, 11.995356 47.8260914, 11.9954842 47.8260882))",,,,,,11.995417125632729,47.82603575701371,1.3872055000358458e-08,2
