,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
264160231,yes,"POLYGON ((5.9741807 51.0027067, 5.974077 51.0026253, 5.9739606 51.0025335, 5.9741058 51.0024599, 5.9741069 51.002461, 5.9741059 51.0024616, 5.9743245 51.0026333, 5.9742739 51.0026592, 5.9741807 51.0027067))",,,,,,,,5.974142571532146,51.00258357022565,4.1018944999819705e-08,3
264160237,yes,"POLYGON ((5.9691376 51.0054639, 5.969124 51.0054742, 5.9690519 51.0055283, 5.9689077 51.0054538, 5.9689944 51.0053921, 5.9690858 51.0053281, 5.9692028 51.0053865, 5.969218 51.0053942, 5.9691376 51.0054639))",,,,,,,,5.969065392712339,51.00542764019341,3.0503910000086e-08,3
264160264,yes,"POLYGON ((5.9697887 51.0055363, 5.969786 51.0055345, 5.9697143 51.0055145, 5.9695972 51.0056722, 5.9698452 51.005743, 5.9698851 51.0056681, 5.9698892 51.0056607, 5.9697819 51.0056302, 5.9697357 51.0056157, 5.9697887 51.0055363))",,,,,,,,5.969740719821169,51.00564268311033,3.031769500071705e-08,3
264167547,yes,"POLYGON ((5.9639703 51.0057319, 5.9638867 51.0056556, 5.9638512 51.0056245, 5.9639464 51.0055866, 5.9639929 51.0056318, 5.9640377 51.0056148, 5.9639958 51.0055718, 5.9641354 51.0055154, 5.9642434 51.0056228, 5.9642329 51.005627, 5.9641019 51.005679, 5.9640404 51.0057055, 5.9639703 51.0057319))",,,,,,,,5.964053094824107,51.0056257266092,3.938787999945749e-08,3
264167550,yes,"POLYGON ((5.9673091 51.0048504, 5.967144 51.0048605, 5.9670688 51.0047759, 5.9671021 51.0047643, 5.9669906 51.0046421, 5.9670642 51.0046157, 5.9671199 51.0046754, 5.9671595 51.004662, 5.9671711 51.0046742, 5.9672953 51.0048045, 5.9672597 51.0048192, 5.9672769 51.0048359, 5.9672889 51.0048309, 5.9673091 51.0048504))",,,,,,,,5.967151273667192,51.0047520901794,3.4910049999751226e-08,3
264167553,yes,"POLYGON ((5.9674681 51.0048023, 5.9675043 51.0048442, 5.9675063 51.0048479, 5.9675286 51.0048738, 5.9674532 51.0048855, 5.9674463 51.0048869, 5.9673256 51.0046906, 5.9674032 51.0046707, 5.9673871 51.0046461, 5.9674549 51.0046273, 5.9674394 51.0046042, 5.9675336 51.0045796, 5.967541 51.004588, 5.967556 51.0046154, 5.9675724 51.0046456, 5.9675851 51.0046727, 5.9674275 51.0047116, 5.9674424 51.0047355, 5.9674753 51.0047871, 5.9675219 51.0047759, 5.9675307 51.0047857, 5.9674681 51.0048023))",,,,,,,,5.967455061395311,51.0047196077906,3.29661050000443e-08,3
264167598,yes,"POLYGON ((5.9632017 51.0040553, 5.9628887 51.0037962, 5.963095 51.0036973, 5.9634077 51.0039564, 5.9632017 51.0040553))",,,,,,,,5.963148244934065,51.003876283002775,8.435432999955242e-08,3
264167733,yes,"POLYGON ((5.9684805 51.0030331, 5.9683567 51.0029116, 5.9685719 51.0028243, 5.9686931 51.0029459, 5.9686935 51.0029466, 5.9685317 51.0030123, 5.9684805 51.0030331))",,,,,,,,5.968525600156214,51.00292878977945,3.677872000059507e-08,3
264167745,yes,"POLYGON ((5.9643227 51.0046745, 5.9642841 51.0046389, 5.9641611 51.0045246, 5.9641612 51.0045238, 5.9643346 51.0044484, 5.9644976 51.0045989, 5.9643227 51.0046745))",,,,,,,,5.964328900379745,51.00456151746107,3.856559000009689e-08,3
264167810,yes,"POLYGON ((5.9641346 51.0047057, 5.9642841 51.0046389, 5.9643227 51.0046745, 5.9643589 51.004708, 5.9644434 51.0047866, 5.9644452 51.004788, 5.9645257 51.0048609, 5.9643816 51.0049259, 5.9641346 51.0047057))",,,,,,,,5.96433054451923,51.004782277991595,4.842860500025219e-08,3
283372623,yes,"POLYGON ((5.9745749 51.0083885, 5.9744464 51.0084465, 5.9744774 51.0084737, 5.9745271 51.0085173, 5.9746637 51.0086372, 5.9750219 51.0084755, 5.9749651 51.0084258, 5.9747123 51.0085399, 5.9746351 51.0084721, 5.9746583 51.0084617, 5.9745749 51.0083885))",,,,,,,,5.974702543388119,51.008509952939406,5.2031760001181117e-08,3
283372629,yes,"POLYGON ((6.0141603 51.0396069, 6.0138116 51.0395483, 6.0147283 51.037372, 6.0150759 51.0374308, 6.0141603 51.0396069))",,,,,,,,6.014443812209609,51.038489993250145,8.114220350043099e-07,0
283372632,yes,"POLYGON ((5.9742093 51.0086545, 5.9744276 51.0088276, 5.974547 51.008768, 5.9743288 51.0085948, 5.9742093 51.0086545))",,,,,,,,5.974378155643735,51.00871120736028,3.370137999964833e-08,3
284249598,yes,"POLYGON ((6.0303015 50.9551775, 6.0304446 50.955247, 6.0305807 50.9551357, 6.0305005 50.9550967, 6.0306082 50.9550087, 6.0305453 50.9549782, 6.0304508 50.9550554, 6.0303015 50.9551775))",,,,,,,,6.030462196367575,50.95512587200271,3.4210670000094016e-08,3
293566081,yes,"POLYGON ((5.9837972 50.9895506, 5.9840618 50.9895552, 5.9840736 50.9892879, 5.9838089 50.9892832, 5.9837972 50.9895506))",,,,,,,,5.983935367287968,50.98941921607615,7.080881499955498e-08,3
295887966,yes,"POLYGON ((6.0102796 50.958849, 6.0102538 50.95894, 6.0102236 50.9590423, 6.010068 50.9590215, 6.0100639 50.9590335, 6.0099954 50.9590256, 6.0100549 50.9588231, 6.010179 50.9588374, 6.0102796 50.958849))",,,,,,,,6.010137706280524,50.95893360706538,4.5452624999946623e-08,3
295887967,yes,"POLYGON ((6.010207 50.9587413, 6.0103771 50.9587599, 6.0104419 50.9587657, 6.0105984 50.95878, 6.0105431 50.9589712, 6.0102538 50.95894, 6.0102796 50.958849, 6.010179 50.9588374, 6.010207 50.9587413))",,,,,,,,6.010398581845092,50.9588511582882,6.646425500034758e-08,3
299870866,yes,"POLYGON ((6.027124 50.9811546, 6.0272122 50.9811411, 6.0273208 50.9814226, 6.0269437 50.9814803, 6.0268937 50.9813508, 6.0269849 50.9813362, 6.026999 50.9813734, 6.0271968 50.9813437, 6.0271716 50.9812772, 6.027124 50.9811546))",,,,,,,,6.027131277017584,50.98135318838457,5.8219125000306596e-08,1
384597184,yes,"POLYGON ((6.0604778 51.009508, 6.0604884 51.0095107, 6.0606237 51.0095446, 6.0606318 51.0095466, 6.0606766 51.0094759, 6.0606658 51.0094732, 6.0606798 51.0094511, 6.0607152 51.00946, 6.0607482 51.0094078, 6.0607569 51.0094099, 6.0607796 51.0093739, 6.0607309 51.0093617, 6.0607483 51.0093343, 6.0606605 51.0093124, 6.0606327 51.0093562, 6.060616 51.009352, 6.0606104 51.0093609, 6.0606215 51.0093637, 6.0605938 51.0094076, 6.0605485 51.0093962, 6.0604778 51.009508))",,,,,,,,6.060630722657021,51.0094336031515,3.407633499994112e-08,1
439568297,yes,"POLYGON ((5.9862636 51.0292239, 5.9862946 51.0292311, 5.9862899 51.0292391, 5.9864343 51.0292727, 5.9864388 51.0292651, 5.9865523 51.0292914, 5.9865643 51.0292709, 5.9866091 51.0291947, 5.9866044 51.0291936, 5.9864918 51.0291674, 5.9865019 51.0291502, 5.9864344 51.0291345, 5.9864248 51.0291509, 5.9863321 51.0291293, 5.9863207 51.0291267, 5.986296 51.0291688, 5.9862636 51.0292239))",,,,,,,,5.986434530316205,51.02920857329371,3.4425050000230884e-08,0
491730515,yes,"POLYGON ((5.9842673 50.9896453, 5.984279 50.9893371, 5.9850981 50.9893498, 5.9850786 50.9898474, 5.9848339 50.9898438, 5.9848414 50.9896541, 5.9845941 50.9896504, 5.9842673 50.9896453))",,,,,,,,5.984725642977615,50.9895368484376,2.989257650016055e-07,3
491730516,yes,"POLYGON ((5.9845877 50.9898404, 5.9845941 50.9896504, 5.9848414 50.9896541, 5.9848339 50.9898438, 5.9845877 50.9898404))",,,,,,,,5.9847142468438195,50.98974710336222,4.6870159999576325e-08,3
491730517,yes,"POLYGON ((5.9844269 50.990416, 5.9844299 50.990308, 5.9847715 50.9903117, 5.9847684 50.9904195, 5.9844269 50.990416))",,,,,,,,5.984599122615082,50.99036379666642,3.686422500110591e-08,3
491731940,yes,"POLYGON ((5.9997416 50.9971811, 5.9999371 50.9971291, 5.9998271 50.9969653, 5.9996316 50.9970173, 5.9997416 50.9971811))",,,,,,,,5.9997843500000005,50.99707320000001,3.774289999992846e-08,3
